,premise,hypothesis,gold_label,type,infersent_embedding,predicted_label
9616.0,"If Charlotte passes her driving test, her parents will buy her a car.",Charlotte has parents.,E,type5_possessive,"[ 0.00746889  0.02164852  0.06960781 ...  0.00071831 -0.04434213
 -0.0138564 ]",E
9617.0,"It's not the case that if Charlotte passes her driving test, her parents will buy her a car.",Charlotte has parents.,E,type5_possessive,"[ 0.00746889  0.0176047   0.06544004 ...  0.00071831 -0.04434213
 -0.0138564 ]",E
9618.0,"Sam believes that if Charlotte passes her driving test, her parents will buy her a car.",Charlotte has parents.,E,type5_possessive,"[ 0.00746889  0.01864452  0.06781822 ...  0.00071831 -0.04434213
 -0.0138564 ]",E
9619.0,"Is it true that if Charlotte passes her driving test, her parents will buy her a car?",Charlotte has parents.,E,type5_possessive,"[ 0.00746889  0.01786328  0.06608839 ...  0.00071831 -0.04434213
 -0.0138564 ]",E
9628.0,"If Lily takes the train to the city, her friend will meet her at the station.",Lily has a friend.,E,type5_possessive,"[ 0.00746889 -0.03935728  0.09391705 ...  0.04070196  0.01024261
  0.02042415]",E
9629.0,"It's not the case that if Lily takes the train to the city, her friend will meet her at the station.",Lily has a friend.,E,type5_possessive,"[ 0.00746889 -0.06974457  0.08938514 ...  0.04070196  0.01024261
  0.02042415]",E
9630.0,"Sam believes that if Lily takes the train to the city, her friend will meet her at the station.",Lily has a friend.,E,type5_possessive,"[ 0.00746889 -0.01138695  0.09184624 ...  0.04070196  0.01024261
  0.02042415]",E
9631.0,"Is it true that if Lily takes the train to the city, her friend will meet her at the station?",Lily has a friend.,E,type5_possessive,[0.00746889 0.01478766 0.0900408  ... 0.04070196 0.01024261 0.02042415],E
9640.0,"If Sarah has a doctor's appointment, her husband will drive her to the clinic.",Sarah has a husband.,E,type5_possessive,"[ 0.00746889  0.11029226  0.05484803 ...  0.02788562 -0.03343987
 -0.0138564 ]",E
9641.0,"It's not the case that if Sarah has a doctor's appointment, her husband will drive her to the clinic.",Sarah has a husband.,E,type5_possessive,"[ 0.00746889  0.10450357  0.04863444 ...  0.02788562 -0.03343987
 -0.0138564 ]",E
9642.0,"Sam believes that if Sarah has a doctor's appointment, her husband will drive her to the clinic.",Sarah has a husband.,E,type5_possessive,"[ 0.00746889  0.10639471  0.05247208 ...  0.02788562 -0.03343987
 -0.0138564 ]",E
9643.0,"Is it true that if Sarah has a doctor's appointment, her husband will drive her to the clinic?",Sarah has a husband.,E,type5_possessive,"[ 0.00746889  0.10497553  0.04970814 ...  0.02788562 -0.03343987
 -0.0138564 ]",E
9648.0,"If Daniel arrives on time, his best friend will be waiting for him at the train station.",Daniel has a best friend.,E,type5_possessive,"[ 0.00746889  0.05141497  0.13529767 ...  0.03999854  0.01024261
 -0.0138564 ]",E
9649.0,"It's not the case that if Daniel arrives on time, his best friend will be waiting for him at the train station.",Daniel has a best friend.,E,type5_possessive,"[ 0.00746889  0.02562816  0.12942396 ...  0.03999854  0.01024261
 -0.0138564 ]",E
9650.0,"Sam believes that if Daniel arrives on time, his best friend will be waiting for him at the train station.",Daniel has a best friend.,E,type5_possessive,"[ 0.00746889  0.03222905  0.13395494 ...  0.03999854  0.01024261
 -0.0138564 ]",E
9651.0,"Is it true that if Daniel arrives on time, his best friend will be waiting for him at the train station?",Daniel has a best friend.,E,type5_possessive,"[ 0.00746889  0.02629008  0.1307275  ...  0.03999854  0.01024261
 -0.0138564 ]",E
9684.0,"If Harper arrives early, her friend will meet her at the train station.",Harper has a friend.,E,type5_possessive,"[ 0.00746889 -0.03935728  0.08547863 ...  0.04070196  0.01024261
 -0.0138564 ]",E
9685.0,"It's not the case that if Harper arrives early, her friend will meet her at the train station.",Harper has a friend.,E,type5_possessive,"[ 0.00746889 -0.06974457  0.0761722  ...  0.04070196  0.01024261
 -0.0138564 ]",E
9686.0,"Sam believes that if Harper arrives early, her friend will meet her at the train station.",Harper has a friend.,E,type5_possessive,"[ 0.00746889 -0.01138695  0.08636098 ...  0.04070196  0.01024261
 -0.0138564 ]",E
9687.0,"Is it true that if Harper arrives early, her friend will meet her at the train station?",Harper has a friend.,E,type5_possessive,"[ 0.00746889  0.01478766  0.0793904  ...  0.04070196  0.01024261
 -0.0138564 ]",E
9728.0,"If Sophia decides to attend the concert, his best friend will drive him there.",Sophia has a best friend.,E,type5_possessive,"[ 0.00746889  0.02767526  0.13504452 ...  0.03999854  0.01024261
 -0.0138564 ]",E
9729.0,"It's not the case that if Sophia decides to attend the concert, his best friend will drive him there.",Sophia has a best friend.,E,type5_possessive,"[ 0.00746889  0.02410851  0.13144903 ...  0.03999854  0.01024261
 -0.0138564 ]",E
9730.0,"Sam believes that if Sophia decides to attend the concert, his best friend will drive him there.",Sophia has a best friend.,E,type5_possessive,"[ 0.00746889  0.02542476  0.13386567 ...  0.03999854  0.01024261
 -0.0138564 ]",E
