,premise,hypothesis,gold_label,type,infersent_embedding,predicted_label
9616.0,"If Charlotte passes her driving test, her parents will buy her a car.",Charlotte has parents.,E,type5_possessive,"[ 0.00746889 -0.03935728  0.03580566 ...  0.01252648 -0.04434213
 -0.0138564 ]",N
9617.0,"It's not the case that if Charlotte passes her driving test, her parents will buy her a car.",Charlotte has parents.,E,type5_possessive,"[ 0.00746889 -0.06682748  0.02453962 ...  0.01252648 -0.04434213
 -0.0138564 ]",N
9618.0,"Sam believes that if Charlotte passes her driving test, her parents will buy her a car.",Charlotte has parents.,E,type5_possessive,"[ 0.00746889 -0.06450726  0.06022661 ...  0.01252648 -0.04434213
 -0.0138564 ]",N
9619.0,"Is it true that if Charlotte passes her driving test, her parents will buy her a car?",Charlotte has parents.,E,type5_possessive,"[ 0.00746889 -0.05717079  0.05027305 ...  0.01252648 -0.04434213
 -0.0138564 ]",N
9628.0,"If Lily takes the train to the city, her friend will meet her at the station.",Lily has a friend.,E,type5_possessive,"[ 0.00746889 -0.03935728  0.06870508 ...  0.04070196  0.01024261
 -0.0138564 ]",N
9629.0,"It's not the case that if Lily takes the train to the city, her friend will meet her at the station.",Lily has a friend.,E,type5_possessive,"[ 0.00746889 -0.06674895  0.06261627 ...  0.04070196  0.01024261
 -0.0138564 ]",N
9630.0,"Sam believes that if Lily takes the train to the city, her friend will meet her at the station.",Lily has a friend.,E,type5_possessive,"[ 0.00746889 -0.06576277  0.08004194 ...  0.04070196  0.01024261
 -0.0138564 ]",N
9631.0,"Is it true that if Lily takes the train to the city, her friend will meet her at the station?",Lily has a friend.,E,type5_possessive,"[ 0.00746889 -0.05717079  0.0728272  ...  0.04070196  0.01024261
 -0.0138564 ]",E
9640.0,"If Sarah has a doctor's appointment, her husband will drive her to the clinic.",Sarah has a husband.,E,type5_possessive,"[ 0.00746889  0.11090076  0.03573478 ...  0.02788562 -0.03343987
 -0.0138564 ]",E
9641.0,"It's not the case that if Sarah has a doctor's appointment, her husband will drive her to the clinic.",Sarah has a husband.,E,type5_possessive,"[ 0.00746889  0.10681561  0.03034933 ...  0.02788562 -0.03343987
 -0.0138564 ]",E
9642.0,"Sam believes that if Sarah has a doctor's appointment, her husband will drive her to the clinic.",Sarah has a husband.,E,type5_possessive,"[ 0.00746889  0.11314591  0.04379129 ...  0.02788562 -0.03343987
 -0.0138564 ]",N
9643.0,"Is it true that if Sarah has a doctor's appointment, her husband will drive her to the clinic?",Sarah has a husband.,E,type5_possessive,"[ 0.00746889  0.108569    0.03819704 ...  0.02788562 -0.03343987
 -0.0138564 ]",E
9648.0,"If Daniel arrives on time, his best friend will be waiting for him at the train station.",Daniel has a best friend.,E,type5_possessive,"[ 0.00746889  0.05141497  0.05469481 ...  0.04070196  0.01024261
 -0.0138564 ]",N
9649.0,"It's not the case that if Daniel arrives on time, his best friend will be waiting for him at the train station.",Daniel has a best friend.,E,type5_possessive,"[ 0.00746889  0.03162964  0.04517679 ...  0.04070196  0.01024261
 -0.0138564 ]",N
