,premise,hypothesis,gold_label,type,glove_embedding,predicted_label
9616.0,"If Charlotte passes her driving test, her parents will buy her a car.",Charlotte has parents.,E,type5_possessive,"[ 1.71708882e-01  4.65558887e-01  1.76288951e-02 -3.65464866e-01
  5.26058912e-01  6.26763284e-01 -7.50754535e-01  2.18887269e-01
  1.71126664e-01  5.52145578e-02 -1.20569095e-01  1.72553331e-01
 -3.09216648e-01 -7.29010031e-02  5.01276731e-01  7.06233382e-02
 -4.13173348e-01 -4.02955487e-02 -1.57736745e-02 -5.40122271e-01
  1.96113780e-01  7.71107793e-01 -1.15851671e-01  5.32580093e-02
  3.89301360e-01 -1.98683333e+00 -2.09934428e-01  2.90544368e-02
  4.32764471e-01 -5.49106658e-01  2.96866679e+00  4.34161007e-01
 -3.64409000e-01 -9.44377948e-03  3.82882535e-01  4.85129990e-02
  3.25472541e-02  2.71809101e-01  1.97061554e-01 -5.51656663e-01
 -1.06356889e-01  1.95198774e-01  7.75347650e-02  2.74355919e-03
  2.34851129e-02 -3.04380000e-01  2.49822196e-02 -6.22125745e-01
  1.50862336e-01  1.09368801e-01  5.48219979e-01  3.88469994e-02
  1.01269998e-01  3.13190013e-01  9.54869986e-02  4.18139994e-01
 -7.94929981e-01 -5.82960010e-01  2.66430005e-02  1.23920001e-01
  3.51940006e-01 -2.16300003e-02 -8.70180011e-01 -2.71780014e-01
  6.54489994e-01  4.29340005e-01  9.75439996e-02  3.17790002e-01
 -1.19209997e-01 -9.71060023e-02 -4.75849986e-01  2.49070004e-01
  1.22299999e-01 -2.90789992e-01 -1.68660000e-01 -2.10719991e+00
  2.21740007e-02  4.52769995e-01 -6.44850016e-01  1.31809995e-01
  3.65939999e+00 -1.71399996e-01  2.39189997e-01 -4.22490001e-01
 -8.83309990e-02 -3.29250008e-01 -1.28470004e-01  4.70550001e-01
 -7.59529993e-02 -2.77469993e-01 -4.19050008e-01  6.08030021e-01
 -2.42609993e-01  1.48850000e-02 -2.32040003e-01  2.08790004e-02
 -8.21749985e-01  2.65879989e-01 -4.02669996e-01 -1.71110004e-01]",E
9617.0,"It's not the case that if Charlotte passes her driving test, her parents will buy her a car.",Charlotte has parents.,E,type5_possessive,"[ 3.2833287e-01  2.6317859e-01 -3.6561489e-04 -1.9120635e-01
  5.3925997e-01  5.3705806e-01 -5.4217333e-01  1.6922583e-01
  1.0008498e-01  1.0891068e-02 -4.0376283e-02  2.2257431e-01
 -4.0424857e-01 -9.6388511e-02  6.2516934e-01  2.3488306e-01
 -2.1516715e-01 -1.3040857e-01 -5.4271493e-02 -5.5580574e-01
  5.5200141e-02  5.0568813e-01  2.4387496e-02  6.2396610e-03
  2.7470657e-01 -2.1203785e+00 -3.0947787e-01  1.0239165e-01
  3.6117005e-01 -4.7076997e-01  3.1906929e+00  2.0184137e-01
 -4.4778934e-01 -2.3954669e-01  2.5392106e-01 -9.3394160e-02
  1.3099323e-01  1.5854800e-01  1.5952328e-01 -4.3075389e-01
 -1.8545160e-01  2.0812277e-01  5.6895204e-02  1.6963823e-01
 -1.9064644e-02 -1.9579493e-01 -9.0412430e-02 -3.1146225e-01
  8.5966870e-02  9.4648883e-02  5.4821998e-01  3.8846999e-02
  1.0127000e-01  3.1319001e-01  9.5486999e-02  4.1813999e-01
 -7.9492998e-01 -5.8296001e-01  2.6643001e-02  1.2392000e-01
  3.5194001e-01 -2.1630000e-02 -8.7018001e-01 -2.7178001e-01
  6.5448999e-01  4.2934000e-01  9.7544000e-02  3.1779000e-01
 -1.1921000e-01 -9.7106002e-02 -4.7584999e-01  2.4907000e-01
  1.2230000e-01 -2.9078999e-01 -1.6866000e-01 -2.1071999e+00
  2.2174001e-02  4.5276999e-01 -6.4485002e-01  1.3180999e-01
  3.6594000e+00 -1.7140000e-01  2.3919000e-01 -4.2249000e-01
 -8.8330999e-02 -3.2925001e-01 -1.2847000e-01  4.7055000e-01
 -7.5952999e-02 -2.7746999e-01 -4.1905001e-01  6.0803002e-01
 -2.4260999e-01  1.4885000e-02 -2.3204000e-01  2.0879000e-02
 -8.2174999e-01  2.6587999e-01 -4.0267000e-01 -1.7111000e-01]",E
9618.0,"Sam believes that if Charlotte passes her driving test, her parents will buy her a car.",Charlotte has parents.,E,type5_possessive,"[ 0.26313668  0.32907525  0.06787867 -0.26812658  0.56438917  0.52810234
 -0.6331364   0.18250756  0.12443918  0.07511592 -0.03850649  0.24921586
 -0.3989825  -0.12523156  0.59527004  0.23856498 -0.18522501 -0.08100575
  0.0316464  -0.5396833   0.03233283  0.6319178  -0.04210874  0.00896184
  0.39333263 -2.0518248  -0.22324835  0.06636249  0.39661765 -0.4702264
  3.0099335   0.33336163 -0.4044993  -0.14625949  0.23366024 -0.08302609
  0.05298044  0.21794516  0.1695716  -0.50294006 -0.13491811  0.212368
  0.04612591  0.08037832  0.03621967 -0.22897756 -0.08641001 -0.34931597
  0.08850002  0.18358622  0.54822     0.038847    0.10127     0.31319
  0.095487    0.41814    -0.79493    -0.58296     0.026643    0.12392
  0.35194    -0.02163    -0.87018    -0.27178     0.65449     0.42934
  0.097544    0.31779    -0.11921    -0.097106   -0.47585     0.24907
  0.1223     -0.29079    -0.16866    -2.1072      0.022174    0.45277
 -0.64485     0.13181     3.6594     -0.1714      0.23919    -0.42249
 -0.088331   -0.32925    -0.12847     0.47055    -0.075953   -0.27747
 -0.41905     0.60803    -0.24261     0.014885   -0.23204     0.020879
 -0.82175     0.26588    -0.40267    -0.17111   ]",E
9619.0,"Is it true that if Charlotte passes her driving test, her parents will buy her a car?",Charlotte has parents.,E,type5_possessive,"[ 0.29682538  0.33590078  0.02922846 -0.24936216  0.6114554   0.5431908
 -0.59709895  0.12103271  0.08367347  0.09678699 -0.04938599  0.2540185
 -0.34537694 -0.11050148  0.57495695  0.2440977  -0.17799693 -0.05009622
 -0.06414869 -0.55437386  0.0261503   0.5631326   0.01227731  0.03881262
  0.41971782 -2.0197308  -0.37023464  0.11909792  0.48898938 -0.48484132
  3.130231    0.28612453 -0.3934285  -0.16240105  0.210371   -0.10164101
  0.04107425  0.18760861  0.13983808 -0.50651926 -0.10591717  0.14700606
  0.00892198  0.1231894  -0.05021654 -0.16768037 -0.05755338 -0.37307847
  0.08728731  0.14904726  0.54822     0.038847    0.10127     0.31319
  0.095487    0.41814    -0.79493    -0.58296     0.026643    0.12392
  0.35194    -0.02163    -0.87018    -0.27178     0.65449     0.42934
  0.097544    0.31779    -0.11921    -0.097106   -0.47585     0.24907
  0.1223     -0.29079    -0.16866    -2.1072      0.022174    0.45277
 -0.64485     0.13181     3.6594     -0.1714      0.23919    -0.42249
 -0.088331   -0.32925    -0.12847     0.47055    -0.075953   -0.27747
 -0.41905     0.60803    -0.24261     0.014885   -0.23204     0.020879
 -0.82175     0.26588    -0.40267    -0.17111   ]",E
9628.0,"If Lily takes the train to the city, her friend will meet her at the station.",Lily has a friend.,E,type5_possessive,"[ 4.17794138e-01  5.67204714e-01 -1.24555171e-01 -1.13467157e-01
  4.29254174e-01  5.68712391e-02 -5.41395009e-01  2.75188535e-01
 -3.47784013e-02 -3.45337838e-01  3.65471728e-02  9.76916775e-02
 -4.79526669e-01  3.42299938e-02  4.01050121e-01  1.83705330e-01
 -1.25880495e-01  4.91566546e-02 -3.54582816e-01 -3.36464405e-01
  3.00131828e-01  4.26443368e-01 -7.08081573e-02  5.25577366e-02
  2.79661924e-01 -1.92921650e+00 -2.30722621e-01 -3.72048877e-02
 -8.64339843e-02 -3.46386671e-01  3.25325799e+00  3.53960037e-01
 -5.57946265e-01 -2.01857612e-01  1.43546745e-01 -4.26322781e-02
  1.32512927e-01  1.89482406e-01  1.64881244e-01 -3.16327840e-01
 -1.28213167e-01  7.88369998e-02 -9.26798359e-02 -2.24955067e-01
  1.68304145e-02 -3.17859054e-02  5.96220605e-02 -4.71564770e-01
 -2.43857992e-03 -1.10637091e-01  3.82634997e-01  2.51998484e-01
 -1.83150008e-01  2.07005009e-01  5.54493487e-01  5.83294988e-01
 -6.62984967e-01 -4.22760010e-01  9.73815024e-02  1.27869993e-01
  5.14250025e-02 -2.31739998e-01 -5.43784976e-01  1.19129986e-01
  3.94484997e-01 -1.03500485e-03  3.31569985e-02  2.62264997e-01
 -4.50295001e-01 -1.49293005e-01 -2.86625504e-01  2.04975009e-01
 -2.48029992e-01 -2.37914994e-01 -1.46634996e-01 -2.17989993e+00
 -1.00518003e-01  4.78534997e-01 -1.61140010e-01  1.42470002e-01
  3.81150007e+00 -4.42524999e-01 -2.15465009e-01 -6.93050027e-02
  6.45245016e-02 -9.24600065e-02  6.53949976e-02  3.52445006e-01
  1.75723493e-01 -3.60989988e-01 -1.40460014e-01  4.88880008e-01
 -4.42749977e-01  1.95135009e-02 -1.35677502e-01 -1.19745493e-01
 -3.50789994e-01  1.11048996e-01  3.72999907e-03  4.24499810e-03]",E
9629.0,"It's not the case that if Lily takes the train to the city, her friend will meet her at the station.",Lily has a friend.,E,type5_possessive,"[ 4.74400580e-01  3.70642781e-01 -9.75553319e-02 -4.40771244e-02
  4.68597651e-01  1.50611654e-01 -4.31198657e-01  2.17731640e-01
 -3.27229984e-02 -2.64030010e-01  5.63776493e-02  1.60903528e-01
 -5.07697105e-01 -1.66217647e-02  5.32557845e-01  2.85718650e-01
 -4.73144688e-02 -5.13635315e-02 -2.86637157e-01 -4.09279585e-01
  1.53491780e-01  3.09234321e-01  3.14348228e-02  1.40427183e-02
  2.17536658e-01 -2.05614114e+00 -3.06585371e-01  4.26784903e-02
  7.31135486e-03 -3.41497630e-01  3.35240006e+00  1.86226472e-01
 -5.69689810e-01 -3.34761858e-01  1.07736059e-01 -1.32689565e-01
  1.84184417e-01  1.20422281e-01  1.43432170e-01 -2.85975218e-01
 -1.86921656e-01  1.23704351e-01 -5.96139990e-02 -2.05422435e-02
 -1.62532981e-02 -2.25376375e-02 -4.55970168e-02 -2.60006905e-01
 -1.07934093e-02 -5.80517501e-02  3.82634997e-01  2.51998484e-01
 -1.83150008e-01  2.07005009e-01  5.54493487e-01  5.83294988e-01
 -6.62984967e-01 -4.22760010e-01  9.73815024e-02  1.27869993e-01
  5.14250025e-02 -2.31739998e-01 -5.43784976e-01  1.19129986e-01
  3.94484997e-01 -1.03500485e-03  3.31569985e-02  2.62264997e-01
 -4.50295001e-01 -1.49293005e-01 -2.86625504e-01  2.04975009e-01
 -2.48029992e-01 -2.37914994e-01 -1.46634996e-01 -2.17989993e+00
 -1.00518003e-01  4.78534997e-01 -1.61140010e-01  1.42470002e-01
  3.81150007e+00 -4.42524999e-01 -2.15465009e-01 -6.93050027e-02
  6.45245016e-02 -9.24600065e-02  6.53949976e-02  3.52445006e-01
  1.75723493e-01 -3.60989988e-01 -1.40460014e-01  4.88880008e-01
 -4.42749977e-01  1.95135009e-02 -1.35677502e-01 -1.19745493e-01
 -3.50789994e-01  1.11048996e-01  3.72999907e-03  4.24499810e-03]",E
9630.0,"Sam believes that if Lily takes the train to the city, her friend will meet her at the station.",Lily has a friend.,E,type5_possessive,"[ 4.41719353e-01  4.37688649e-01 -5.59185408e-02 -8.59960541e-02
  4.79279339e-01  9.19209272e-02 -4.89172459e-01  2.34824464e-01
 -3.09473872e-02 -2.49306262e-01  7.07740039e-02  1.73994005e-01
 -5.17277360e-01 -2.90606730e-02  4.96290118e-01  2.95442253e-01
 -9.80399549e-04 -1.30193238e-03 -2.48884931e-01 -3.76844764e-01
  1.48303479e-01  3.84024262e-01 -2.08225306e-02  1.72608662e-02
  3.04814875e-01 -1.99273324e+00 -2.37216085e-01  5.89342508e-03
 -1.15117272e-02 -3.23826432e-01  3.22935367e+00  2.89360732e-01
 -5.51310956e-01 -2.72827357e-01  7.20360652e-02 -1.29634485e-01
  1.28866345e-01  1.62856579e-01  1.49325341e-01 -3.24420333e-01
 -1.46690860e-01  1.15844727e-01 -8.37639943e-02 -1.17307551e-01
  2.83489991e-02 -2.59827860e-02 -3.64196859e-02 -2.83429146e-01
 -2.16682646e-02 -7.26197939e-03  3.82634997e-01  2.51998484e-01
 -1.83150008e-01  2.07005009e-01  5.54493487e-01  5.83294988e-01
 -6.62984967e-01 -4.22760010e-01  9.73815024e-02  1.27869993e-01
  5.14250025e-02 -2.31739998e-01 -5.43784976e-01  1.19129986e-01
  3.94484997e-01 -1.03500485e-03  3.31569985e-02  2.62264997e-01
 -4.50295001e-01 -1.49293005e-01 -2.86625504e-01  2.04975009e-01
 -2.48029992e-01 -2.37914994e-01 -1.46634996e-01 -2.17989993e+00
 -1.00518003e-01  4.78534997e-01 -1.61140010e-01  1.42470002e-01
  3.81150007e+00 -4.42524999e-01 -2.15465009e-01 -6.93050027e-02
  6.45245016e-02 -9.24600065e-02  6.53949976e-02  3.52445006e-01
  1.75723493e-01 -3.60989988e-01 -1.40460014e-01  4.88880008e-01
 -4.42749977e-01  1.95135009e-02 -1.35677502e-01 -1.19745493e-01
 -3.50789994e-01  1.11048996e-01  3.72999907e-03  4.24499810e-03]",E
9631.0,"Is it true that if Lily takes the train to the city, her friend will meet her at the station?",Lily has a friend.,E,type5_possessive,"[ 4.57929999e-01  4.36446071e-01 -7.95845017e-02 -8.21331143e-02
  5.22839963e-01  1.31441563e-01 -4.68889803e-01  1.81606382e-01
 -5.43578602e-02 -2.11422116e-01  5.51043749e-02  1.82597488e-01
 -4.66329396e-01 -2.31031291e-02  4.85971957e-01  2.96382725e-01
 -6.62288675e-03  1.88305620e-02 -3.09185237e-01 -3.98958296e-01
  1.36032015e-01  3.43629569e-01  2.20357552e-02  4.09959331e-02
  3.31785202e-01 -1.97034991e+00 -3.55769455e-01  5.25202677e-02
  8.90484080e-02 -3.44851047e-01  3.31338143e+00  2.53730655e-01
 -5.33140302e-01 -2.78031945e-01  6.32150546e-02 -1.41846091e-01
  1.14449695e-01  1.41651183e-01  1.26432255e-01 -3.38485926e-01
 -1.22391805e-01  6.87708706e-02 -1.05874062e-01 -7.01681823e-02
 -4.13885042e-02  1.11340042e-02 -1.60980746e-02 -3.06854129e-01
 -1.57680605e-02 -2.33968589e-02  3.82634997e-01  2.51998484e-01
 -1.83150008e-01  2.07005009e-01  5.54493487e-01  5.83294988e-01
 -6.62984967e-01 -4.22760010e-01  9.73815024e-02  1.27869993e-01
  5.14250025e-02 -2.31739998e-01 -5.43784976e-01  1.19129986e-01
  3.94484997e-01 -1.03500485e-03  3.31569985e-02  2.62264997e-01
 -4.50295001e-01 -1.49293005e-01 -2.86625504e-01  2.04975009e-01
 -2.48029992e-01 -2.37914994e-01 -1.46634996e-01 -2.17989993e+00
 -1.00518003e-01  4.78534997e-01 -1.61140010e-01  1.42470002e-01
  3.81150007e+00 -4.42524999e-01 -2.15465009e-01 -6.93050027e-02
  6.45245016e-02 -9.24600065e-02  6.53949976e-02  3.52445006e-01
  1.75723493e-01 -3.60989988e-01 -1.40460014e-01  4.88880008e-01
 -4.42749977e-01  1.95135009e-02 -1.35677502e-01 -1.19745493e-01
 -3.50789994e-01  1.11048996e-01  3.72999907e-03  4.24499810e-03]",E
9640.0,"If Sarah has a doctor's appointment, her husband will drive her to the clinic.",Sarah has a husband.,E,type5_possessive,"[ 3.73949587e-01  3.74037862e-01 -1.69444550e-02 -1.38418868e-01
  5.25516272e-01  5.25696993e-01 -6.63316727e-01  5.32658100e-02
  7.13858679e-02 -6.85958052e-03 -3.46897729e-02  7.41499960e-02
 -5.06926596e-01 -7.79355615e-02  4.57772255e-01  1.56312540e-01
 -2.12650225e-01 -2.12322213e-02 -1.40470445e-01 -3.03493977e-01
  8.00962150e-02  5.71568847e-01 -1.61608130e-01 -1.75363347e-01
  2.64521778e-01 -2.09456658e+00 -1.81650221e-01  3.49000990e-02
  1.34431109e-01 -3.27748895e-01  3.33003354e+00  2.04186648e-01
 -5.00133276e-01 -1.15419663e-01  1.45945415e-01  1.64208774e-04
  5.01132160e-02  2.80049920e-01  1.58456221e-01 -4.98553216e-01
 -1.39118120e-01  2.67259330e-01 -2.45263308e-01 -1.58983320e-01
 -9.74782258e-02 -2.25593537e-01 -8.66427720e-02 -5.61652124e-01
 -2.47344375e-03 -7.87433311e-02  3.82634997e-01  2.51998484e-01
 -1.83150008e-01  2.07005009e-01  5.54493487e-01  5.83294988e-01
 -6.62984967e-01 -4.22760010e-01  9.73815024e-02  1.27869993e-01
  5.14250025e-02 -2.31739998e-01 -5.43784976e-01  1.19129986e-01
  3.94484997e-01 -1.03500485e-03  3.31569985e-02  2.62264997e-01
 -4.50295001e-01 -1.49293005e-01 -2.86625504e-01  2.04975009e-01
 -2.48029992e-01 -2.37914994e-01 -1.46634996e-01 -2.17989993e+00
 -1.00518003e-01  4.78534997e-01 -1.61140010e-01  1.42470002e-01
  3.81150007e+00 -4.42524999e-01 -2.15465009e-01 -6.93050027e-02
  6.45245016e-02 -9.24600065e-02  6.53949976e-02  3.52445006e-01
  1.75723493e-01 -3.60989988e-01 -1.40460014e-01  4.88880008e-01
 -4.42749977e-01  1.95135009e-02 -1.35677502e-01 -1.19745493e-01
 -3.50789994e-01  1.11048996e-01  3.72999907e-03  4.24499810e-03]",E
9641.0,"It's not the case that if Sarah has a doctor's appointment, her husband will drive her to the clinic.",Sarah has a husband.,E,type5_possessive,"[ 4.58344758e-01  2.04343647e-01 -2.25913320e-02 -4.52482142e-02
  5.38911164e-01  4.72086877e-01 -4.85963374e-01  6.27548769e-02
  3.59658971e-02 -2.90137343e-02  1.48318540e-02  1.59315005e-01
 -5.31347871e-01 -9.96249989e-02  5.97202241e-01  2.89968997e-01
 -8.62594172e-02 -1.18153580e-01 -1.34433717e-01 -4.03687626e-01
 -1.93825755e-02  3.77413094e-01 -5.02736028e-03 -1.40731186e-01
  1.94491148e-01 -2.18963575e+00 -2.91295141e-01  1.06149592e-01
  1.69384375e-01 -3.28468561e-01  3.42299986e+00  5.40007167e-02
 -5.35040677e-01 -3.07674021e-01  1.01604342e-01 -1.24475524e-01
  1.42285660e-01  1.63845643e-01  1.34705573e-01 -3.96615922e-01
 -2.06512347e-01  2.54447430e-01 -1.50617868e-01  6.56709224e-02
 -9.68267918e-02 -1.45146489e-01 -1.62171364e-01 -2.72586375e-01
 -1.26061440e-02 -2.62803435e-02  3.82634997e-01  2.51998484e-01
 -1.83150008e-01  2.07005009e-01  5.54493487e-01  5.83294988e-01
 -6.62984967e-01 -4.22760010e-01  9.73815024e-02  1.27869993e-01
  5.14250025e-02 -2.31739998e-01 -5.43784976e-01  1.19129986e-01
  3.94484997e-01 -1.03500485e-03  3.31569985e-02  2.62264997e-01
 -4.50295001e-01 -1.49293005e-01 -2.86625504e-01  2.04975009e-01
 -2.48029992e-01 -2.37914994e-01 -1.46634996e-01 -2.17989993e+00
 -1.00518003e-01  4.78534997e-01 -1.61140010e-01  1.42470002e-01
  3.81150007e+00 -4.42524999e-01 -2.15465009e-01 -6.93050027e-02
  6.45245016e-02 -9.24600065e-02  6.53949976e-02  3.52445006e-01
  1.75723493e-01 -3.60989988e-01 -1.40460014e-01  4.88880008e-01
 -4.42749977e-01  1.95135009e-02 -1.35677502e-01 -1.19745493e-01
 -3.50789994e-01  1.11048996e-01  3.72999907e-03  4.24499810e-03]",E
